,spearman_home_goals,spearman_away_goals,spearman_total_goals,spearman_goal_diff,rf_home_goals,rf_away_goals,rf_total_goals,rf_goal_diff,abs_spearman_mean,rf_importance_mean,abs_spearman_mean_z,rf_importance_mean_z,combined_score
away_ctx_stats_performance_crdy,0.09577331017743616,-0.011752491500057582,0.07564653768499989,0.08410885742241116,0.0021315165572045117,0.0015614822225532437,0.0018435470842386216,0.0008085271213677944,0.0668202991962262,0.0015862682463410427,-0.10685704726408554,-0.3610884252048162,-0.4679454724689017
away_ctx_playingtime_team_success_90,-0.09115173158642963,0.07222125810431157,-0.0077517238881688105,-0.11435237080329488,0.0010959371298954897,0.0010047618973731897,0.0005447294825171678,0.00041407973072372136,0.07136927109555122,0.0007648770601273922,-0.02063410075292131,-0.4518429271101561,-0.47247702786307744
home_ctx_keepers_performance_d,-0.030003703250337223,-0.09583410857417624,-0.08893150911386882,0.037525281738377554,0.0011350698808365615,0.001998249211671058,0.002110024174823591,0.0029718793811510805,0.06307365066918996,0.0020538056621205725,-0.17787245089643425,-0.30943079117689964,-0.48730324207333386
away_ctx_playingtime_subs_subs,0.09737250347563735,0.023591813510385057,0.08594550217168866,0.06290587802696901,0.001964094305761196,0.0008478551024555009,0.0016143680928618375,0.0007071642339093288,0.06745392429617002,0.001283370433746966,-0.09484707571233925,-0.39455523197311065,-0.4894023076854499
away_ctx_playingtime_team_success,-0.09115173158642963,0.07222125810431157,-0.0077517238881688105,-0.11435237080329488,0.0007568460929179492,0.0005400364703785128,0.00033986903962255976,0.0007175512621132611,0.07136927109555122,0.0005885757162580707,-0.02063410075292131,-0.4713222457547325,-0.49195634650765385
away_ctx_misc_performance_pkwon,-0.013378201778342017,0.10328079166193353,0.06891627867918314,-0.07721957823746949,0.0016506044772440461,0.001355213371853021,0.0021283180588989124,0.00047758180688744513,0.06569871258923204,0.0014029294287208562,-0.12811602713090883,-0.3813453056684764,-0.5094613327993852
away_ctx_misc_performance_tklw,0.05000531386911323,-0.06470353355463289,-0.023041204214963553,0.08744984947393536,0.0030966608133487093,0.002284893155390048,0.0026928329308586172,0.0032933618605460145,0.05629997527816126,0.0028419371900358474,-0.3062632749882074,-0.22235110800966312,-0.5286143829978704
away_ctx_misc_performance_crs,-0.03069729275020342,0.07199651099228838,0.027668194525937224,-0.06086111031505244,0.004668231938564065,0.00364027576166895,0.006582310754101683,0.0021883718367123016,0.047805777145870365,0.00426979757276175,-0.46726554262684084,-0.06458857050058493,-0.5318541131274258
home_ctx_misc_performance_fld,0.027074825608026137,0.06472924197352621,0.06768662464488992,-0.030407300996770942,0.00235493186900157,0.0031881566710937094,0.006480849446823928,0.0024256001071341028,0.0474744983058033,0.003612384523513328,-0.4735447279767484,-0.13722532973541357,-0.610770057712162
away_ctx_keepers_pl,0.0721368581044585,0.07033869352149333,0.10640441344253421,0.0013105041615037753,0.0009998178181798356,0.0009290052873996474,0.001707819152558165,0.0002876069297874872,0.06254761730749746,0.000981062296981284,-0.18784308764955,-0.42795688618439,-0.6157999738339399
